SampleID	libType	extID	libID	sampleName	ID	sampleNumber	sampleType	samplePool	samplingTime	sampleDiet	samplingTank	New_Diet
MQ211210-106	abV4-C	EXT-CP925-102	LIB-CP925-102-A-1	T1-ctr-tk2-HGm03	T1_ctr_tk2_03	3	sample	high	T1	CTR	tk2	MC1
MQ211210-145	abV4-C	EXT-CP925-139	LIB-CP925-139-A-1	T1-ctr-tk2-HGm07	T1_ctr_tk2_07	7	sample	low	T1	CTR	tk2	MC1
MQ211210-140	abV4-C	EXT-CP925-134	LIB-CP925-134-A-1	T1-ctr-tk2-HGm01	T1_ctr_tk2_01	1	sample	high	T1	CTR	tk2	MC1
MQ211210-113	abV4-C	EXT-CP925-109	LIB-CP925-109-A-1	T1-ctr-tk2-HGm05	T1_ctr_tk2_05	5	sample	low	T1	CTR	tk2	MC1
MQ211210-16	abV4-C	EXT-CP925-16	LIB-CP925-16-A-1	CP1A	CP1A		ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl
MQ211210-31	abV4-C	EXT-CP925-29	LIB-CP925-29-A-1	CL1A	CL1A		ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl	ext-ctrl
MQ211210-99	abV4-C	EXT-CP925-95	LIB-CP925-95-A-1	T1-mn3-tk2-HGm03	T1_mn3_tk2_03	3	sample	high	T1	MN3	tk2	MC2
MQ211210-74	abV4-C	EXT-CP925-70	LIB-CP925-70-A-1	T1-mn3-tk2-HGm07	T1_mn3_tk2_07	7	sample	high	T1	MN3	tk2	MC2
MQ211210-134	abV4-C	EXT-CP925-128	LIB-CP925-128-A-1	T1-mn3-tk2-HGm05	T1_mn3_tk2_05	5	sample	high	T1	MN3	tk2	MC2
MQ211210-83	abV4-C	EXT-CP925-79	LIB-CP925-79-A-1	T1-mn3-tk2-HGm01	T1_mn3_tk2_01	1	sample	low	T1	MN3	tk2	MC2
MQ211210-133	abV4-C	EXT-CP925-127	LIB-CP925-127-A-1	T1-mc1-tk1-HGm01	T1_mc1_tk1_01	1	sample	low	T1	MC1	tk1	MC1
MQ211210-183	abV4-C	EXT-CP925-168	LIB-CP925-168-A-1	T2-mc1-tk1-HGm05	T2_mc1_tk1_05	5	sample	high	T2	MC1	tk1	MC1
MQ211210-82	abV4-C	EXT-CP925-78	LIB-CP925-78-A-1	T2-mc1-tk1-HGm01	T2_mc1_tk1_01	1	sample	low	T2	MC1	tk1	MC1
MQ211210-135	abV4-C	EXT-CP925-129	LIB-CP925-129-A-1	T3-mc1-tk1-HGm03	T3_mc1_tk1_03	3	sample	high	T3	MC1	tk1	MC1
MQ211210-109	abV4-C	EXT-CP925-105	LIB-CP925-105-A-1	T1-mc2-tk2-HGm03	T1_mc2_tk2_03	3	sample	low	T1	MC2	tk2	MN3
MQ211210-67	abV4-C	EXT-CP925-63	LIB-CP925-63-A-1	T1-mc2-tk2-HGm01	T1_mc2_tk2_01	1	sample	low	T1	MC2	tk2	MN3
MQ211210-144	abV4-C	EXT-CP925-138	LIB-CP925-138-A-1	T1-mc2-tk2-HGm05	T1_mc2_tk2_05	5	sample	low	T1	MC2	tk2	MN3
MQ211210-91	abV4-C	EXT-CP925-87	LIB-CP925-87-A-1	T1-mc2-tk2-HGm07	T1_mc2_tk2_07	7	sample	low	T1	MC2	tk2	MN3
MQ211210-40	abV4-C	EXT-CP925-38	LIB-CP925-38-A-1	T1-mc2-tk1-HGm01	T1_mc2_tk1_01	1	sample	low	T1	MC2	tk1	MC2
MQ211210-17	abV4-C	EXT-CP925-17	LIB-CP925-17-A-1	T3-mc2-tk1-HGm03	T3_mc2_tk1_03	3	sample	low	T3	MC2	tk1	MC2
MQ211210-81	abV4-C	EXT-CP925-77	LIB-CP925-77-A-1	T2-mc2-tk1-HGm01	T2_mc2_tk1_01	1	sample	low	T2	MC2	tk1	MC2
