,Time,Diet,New_Diet,Tank_number,Sample_Type,Sample_Number,ID,BW,Length,Sex,Gut_struc,Gut_light,Anus_bleed,Gut_bleed,Fat_Score,Heart_Sco,softliver,patchy_liver,Liver_Sco,HSI,CSI,ID_New,common
T1_CTR_tk2_07,T1,MC1,CTR,tk2,Hind_Gut,7,T1_MC1_tk2_7,78.08,17.5,NA,0,1,0,0,3,0,0,0,3,1.485655738,0.126793033,T1_CTR_tk2_07,T1_MC1_tk2_07
T2_CTR_tk3_07,T2,CTR,CTR,tk3,Hind_Gut,7,T2_CTR_tk3_7,151.8,24,0,0,1,1,0,2,0,0,0,3,0.876152833,0.162055336,T2_CTR_tk3_07,T2_CTR_tk3_07
T3_CTR_tk1_07,T3,CTR,CTR,tk1,Hind_Gut,7,T3_CTR_tk1_7,217,25.5,0,0,1,0,0,2,1.5,0,0,2,1.612903226,0.198617512,T3_CTR_tk1_07,T3_CTR_tk1_07
T2_CTR_tk2_05,T2,CTR,CTR,tk2,Hind_Gut,5,T2_CTR_tk2_5,96.5,20.4,0,0,1,NA,1,3,0,0,0,4,0.735751295,0.152331606,T2_CTR_tk2_05,T2_CTR_tk2_05
T2_CTR_tk2_01,T2,CTR,CTR,tk2,Hind_Gut,1,T2_CTR_tk2_1,84.8,19.4,0,NA,NA,NA,NA,2,0,0,0,2,0.919811321,NA,T2_CTR_tk2_01,T2_CTR_tk2_01
T1_MN3_tk2_01,T1,MC2,MN3,tk2,Hind_Gut,1,T1_MC2_tk2_1,64.3,16.8,1,0,1,NA,0,3.5,0,0,0,3,1.33748056,0.094867807,T1_MN3_tk2_01,T1_MC2_tk2_01
T1_MN3_tk2_05,T1,MC2,MN3,tk2,Hind_Gut,5,T1_MC2_tk2_5,78.62,17.6,1,0,1,NA,0,3,0.5,0,0,2.5,1.335538031,0.105571102,T1_MN3_tk2_05,T1_MC2_tk2_05
T1_MC1_tk1_01,T1,MC1,MC1,tk1,Hind_Gut,1,T1_MC1_tk1_1,74.7,17.8,1,1,1,NA,0,3,0,0,0,3,1.526104418,0.136546185,T1_MC1_tk1_01,T1_MC1_tk1_01
T1_MC1_tk1_03,T1,MC1,MC1,tk1,Hind_Gut,3,T1_MC1_tk1_3,75.53,18.2,1,0,1,0,0,3,0,0,0,3.5,1.45637495,0.08605852,T1_MC1_tk1_03,T1_MC1_tk1_03
T1_MC1_tk1_05,T1,MC1,MC1,tk1,Hind_Gut,5,T1_MC1_tk1_5,81.63,18.5,1,0,1,NA,0,2,0,0,0,4,1.617052554,0.113928703,T1_MC1_tk1_05,T1_MC1_tk1_05
T1_MC1_tk1_07,T1,MC1,MC1,tk1,Hind_Gut,7,T1_MC1_tk1_7,80.5,17.8,1,0,1,NA,0,2,0,0,0,3,1.652173913,NA,T1_MC1_tk1_07,T1_MC1_tk1_07
T1_MN3_tk2_07,T1,MC2,MN3,tk2,Hind_Gut,7,T1_MC2_tk2_7,129.99,20.9,0,0,1,NA,0,2,0.5,0,0,3,1.223171013,0.114624202,T1_MN3_tk2_07,T1_MC2_tk2_07
